2026-03-31 10:44:58.087 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T09:44:58.087535Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 10:44:58.098 SURGE_PREDICTION | location_id=null | location=null | forecast_time=2026-03-31T09:44:58.098344Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 10:52:52.414 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T09:52:52.414096Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 10:52:52.423 SURGE_PREDICTION | location_id=null | location=null | forecast_time=2026-03-31T09:52:52.423079Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 10:56:59.199 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T09:56:59.199917Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 10:56:59.395 SURGE_PREDICTION | location_id=null | location=null | forecast_time=2026-03-31T09:56:59.395141Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 11:00:19.621 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T10:00:19.621284Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 11:00:19.649 SURGE_PREDICTION | location_id=null | location=null | forecast_time=2026-03-31T10:00:19.649780Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 11:04:50.595 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T10:04:50.595475Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 11:04:50.607 SURGE_PREDICTION | location_id=null | location=null | forecast_time=2026-03-31T10:04:50.607540Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
2026-03-31 11:11:50.774 SURGE_PREDICTION | location_id=10 | location=Craster | forecast_time=2026-03-31T10:11:50.774329Z | pressure_hpa=985.0 | wind_speed_ms=18.0 | wind_dir=80.0 | onshore_frac=0.85 | pressure_rise_m=0.25 | wind_rise_m=0.15 | total_surge_m=0.4 | risk=MODERATE
